0016205,1,0,3,1,1,0
0310837,0,0,0,0,1,0
9823168,0,1,0,0,0,0
0112505,0,1,0,0,0,0
0213240,1,1,0,0,0,1
0211204,1,1,1,1,0,1
0117045,0,0,0,0,0,1
0310111,1,0,0,1,1,1
0316310,1,0,1,1,0,1
0359217,1,0,1,1,1,0
0316045,1,0,1,0,0,0
0017046,0,1,0,0,1,1
0110859,0,0,0,0,0,1
0213227,1,1,1,1,0,1
0210733,1,0,2,1,0,1
0311266,1,1,1,0,1,1
0016311,0,1,0,0,1,0
9928023,1,0,1,0,0,0
0016223,1,1,1,1,1,0
0012246,1,0,0,1,0,0
0111028,1,0,1,1,0,1
0117041,0,1,0,1,0,1
0113364,0,0,3,0,1,1
0313461,1,1,0,0,1,1
0215401,1,0,0,0,0,1
0216314,1,0,0,0,0,1
0016324,0,0,0,0,1,1
0210856,1,0,1,0,0,1
0310123,0,1,0,0,1,0
0211274,0,0,0,1,0,1
0010133,0,0,0,1,0,1
9808003,1,0,1,0,1,0
0115315,0,1,0,0,1,1
0016318,1,0,0,0,1,1
0210712,0,0,0,1,0,1
0212244,1,1,1,1,1,1
0110722,0,0,0,0,0,1
0311615,1,0,0,0,0,1
0010143,1,0,1,0,0,1
0312019,1,0,2,0,1,0
0117003,1,0,1,0,0,1
0112519,0,0,0,0,0,1
0213229,0,0,0,0,1,1
0315347,1,0,2,0,0,0
0316410,1,0,0,1,1,1
0111007,1,0,1,1,0,1
0012016,0,1,0,0,1,1
0016079,0,1,0,0,0,0
0357010,1,0,1,0,1,0
0110116,1,1,1,0,0,0
0016049,1,0,2,0,1,1
0010731,0,0,0,1,1,1
0016233,1,1,1,1,1,0
0016091,1,0,0,1,1,1
0016245,1,0,1,0,1,0
0010021,0,1,0,1,1,0
0016338,1,1,1,1,1,1
0110512,0,0,0,0,0,0
0310780,0,1,0,0,0,1
0113233,1,0,1,0,1,1
0210835,0,0,3,1,0,0
0210818,1,0,1,1,1,1
0215424,1,0,1,0,0,0
0212253,0,1,0,1,0,1
0212228,1,0,1,0,1,1
0213137,1,0,1,1,0,1
0317027,0,0,2,1,0,1
0112227,1,0,1,1,0,1
0110790,0,1,3,0,0,1
0315312,0,1,0,0,1,0
0212501,1,1,1,1,0,1
0212528,1,0,1,1,1,1
